WigleWifi-1.4,appRelease=2.25,model=LG-D801,release=5.0.2,device=g2,display=LRX22G,board=MSM8974,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
f0:b0:52:3e:c8:1c,Ariel_University,[ESS][VHT-CAPA],2017-11-01 12:28:54,52,-82,32.1050652,35.20657538,708,12,WIFI
10:be:f5:3a:25:16,ariel_cyber,[WPA2-PSK-CCMP][ESS],2017-11-01 12:28:54,7,-79,32.1050652,35.20657538,708,12,WIFI
f0:b0:52:3e:cc:7c,Ariel_University,[ESS][VHT-CAPA],2017-11-01 12:28:54,44,-65,32.1050652,35.20657538,708,12,WIFI
1c:b9:c4:16:05:dc,Smart-Class,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][VHT-CAPA],2017-11-01 12:28:54,58,-84,32.1050652,35.20657538,708,12,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS],2017-11-01 12:28:54,6,-58,32.1050652,35.20657538,708,12,WIFI
f0:b0:52:3e:ce:38,Ariel_University,[ESS],2017-11-01 12:28:54,1,-67,32.1050652,35.20657538,708,12,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],2017-11-01 12:28:54,11,-73,32.1050652,35.20657538,708,12,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS][VHT-CAPA],2017-11-01 12:28:54,44,-65,32.1050652,35.20657538,708,12,WIFI
f0:b0:52:3e:cc:78,Ariel_University,[ESS],2017-11-01 12:28:54,6,-64,32.1050652,35.20657538,708,12,WIFI
f0:b0:52:3e:d0:0c,Ariel_University,[ESS][VHT-CAPA],2017-11-01 12:28:54,44,-87,32.1050652,35.20657538,708,12,WIFI
8c:0c:90:2d:79:88,Ariel_University,[ESS],2017-11-01 12:28:54,6,-82,32.1050652,35.20657538,708,12,WIFI
f0:b0:52:3e:c8:2c,Ariel_University,[ESS][VHT-CAPA],2017-11-01 12:28:54,44,-87,32.1050652,35.20657538,708,12,WIFI
14:ae:db:58:0d:6d,__ery,[WPA2-PSK-CCMP][ESS],2017-11-01 12:28:54,6,-85,32.1050652,35.20657538,708,12,WIFI
f0:b0:52:3e:ce:3c,Ariel_University,[ESS][VHT-CAPA],2017-11-01 12:28:54,36,-87,32.1050652,35.20657538,708,12,WIFI
42507_10072_480148,HOT mobile,HSDPA;il,2017-11-01 12:28:54,0,-67,32.1050652,35.20657538,708,12,GSM
ec:8c:a2:26:d2:98,Ariel_University,[ESS],2017-11-01 12:28:56,11,-64,32.10505433,35.20660488,717,11,WIFI
