WigleWifi-1.4,appRelease=2.25,model=Lenovo PB2-690Y,release=6.0.1,device=PB2PRO,display=PB2-690Y_S200032_161214,board=msm8952,brand=Lenovo
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
b4:ee:b4:36:d2:b0,ben moshe,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:12:01,1,-51,32.16857397,34.81328609,-9,8,WIFI
b0:b2:8f:37:ba:c7,ben moshe,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:12:01,1,-62,32.16857397,34.81328609,-9,8,WIFI
3c:1e:04:03:7f:17,Robert1,[WPA2-PSK-CCMP][ESS],2017-10-27 16:14:37,1,-81,32.16866695,34.81322274,38,5,WIFI
6a:12:f5:f9:5e:71,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-27 16:14:37,8,-90,32.16866695,34.81322274,38,5,WIFI
c4:3d:c7:5a:79:1c,tslila,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:14:37,11,-87,32.16866695,34.81322274,38,5,WIFI
c0:ac:54:f5:7b:a7,osnatg370,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:14:37,11,-90,32.16866695,34.81322274,38,5,WIFI
a0:63:91:69:f6:af,OP2,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:14:37,1,-92,32.16866695,34.81322274,38,5,WIFI
30:b5:c2:fe:aa:56,NGOGA,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:14:37,6,-92,32.16866695,34.81322274,38,5,WIFI
48:db:50:34:c7:fb,HUAWEI-C7FB,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:14:37,1,-94,32.16866695,34.81322274,38,5,WIFI
74:da:38:50:77:f2,Howmanyistwo,[WPA2-PSK-CCMP][ESS],2017-10-27 16:14:37,2,-83,32.16866695,34.81322274,38,5,WIFI
98:e7:f4:c6:4b:37,DIRECT-35-HP DeskJet 3830 series,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:14:37,6,-93,32.16866695,34.81322274,38,5,WIFI
98:e7:f4:c6:4b:37,DIRECT-35-HP DeskJet 3830 series,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:14:52,6,-87,32.16868001,34.81321794,39,5,WIFI
f8:e9:03:13:74:ee,Ester,[WPA2-PSK-CCMP][ESS],2017-10-27 16:14:52,1,-96,32.16868001,34.81321794,39,5,WIFI
6a:12:f5:f9:5e:71,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-28 16:15:07,8,-85,32.16868528,34.81321713,40,3,WIFI
00:02:6f:eb:a0:f4,hilda,[WPA2-PSK-CCMP][ESS],2017-10-27 16:15:07,11,-92,32.16868528,34.81321713,40,3,WIFI
